,Request Number,Docket Record Name,Organization Name, Grant Amount , Amount (Fund-Coding) ,Budget Area/Strategy/Portfolio,Grant Purpose,Award Date,Fund Name,Award Year,Department
,21-09776,"21-09776 - Better Future Project, Inc.","Better Future Project, Inc.","$360,000.00","$240,000.00",Climate/Clean Energy/Expand Renewable Energy and Energy Efficiency,To provide program support to build grassroots leadership to advance clean energy and climate resilience,1/4/2022,Grants,2022,Climate
,21-09776,"21-09776 - Better Future Project, Inc.","Better Future Project, Inc.","$360,000.00","$120,000.00",Climate/Climate Resilience/Build Awareness of Climate Impacts,To provide program support to build grassroots leadership to advance clean energy and climate resilience,1/4/2022,Grants,2022,Climate
,22-34673,"22-34673 - A Better City Initiative, Inc.","A Better City Initiative, Inc.","$360,000.00","$160,000.00",Climate/Clean Energy/Expand Renewable Energy and Energy Efficiency,To support informing mobility and clean energy policy efforts,5/2/2022,Grants,2022,Climate
,22-34673,"22-34673 - A Better City Initiative, Inc.","A Better City Initiative, Inc.","$360,000.00","$200,000.00",Climate/Mobility/Modernize the Region's Transportation System,To support informing mobility and clean energy policy efforts,5/2/2022,Grants,2022,Climate
,23-35921,"23-35921 - Massachusetts Coalition for Occupational Safety and Health, Inc.","Massachusetts Coalition for Occupational Safety and Health, Inc.","$375,000.00","$187,500.00",Climate/Climate Resilience/Build Awareness of Climate Impacts,To develop and expand strategies to protect workers and students in Massachusetts from increased health and safety risks resulting from climate change,11/29/2023,Grants,2023,Climate
,23-35921,"23-35921 - Massachusetts Coalition for Occupational Safety and Health, Inc.","Massachusetts Coalition for Occupational Safety and Health, Inc.","$375,000.00","$187,500.00",Climate/Climate Resilience/Advance Policy and Implementation,To develop and expand strategies to protect workers and students in Massachusetts from increased health and safety risks resulting from climate change,11/29/2023,Grants,2023,Climate
,23-35597,"23-35597 - The Latina Circle, Inc. dba Amplify Latinx","The Latina Circle, Inc. dba Amplify Latinx","$375,000.00","$75,000.00",Racial Wealth Equity - Special Initiatives/Racial Wealth Equity,"To provide continued program, capacity building, and one-time organizational development support",8/30/2023,Grants,2023,Racial Wealth Equity
,23-35597,"23-35597 - The Latina Circle, Inc. dba Amplify Latinx","The Latina Circle, Inc. dba Amplify Latinx","$375,000.00","$300,000.00",Sector Effectiveness/Invest in Leadership/Leadership Development,"To provide continued program, capacity building, and one-time organizational development support",8/30/2023,Grants,2023,SectorEffect
,6115,6115 - Stand for Children Leadership Center,Stand for Children Leadership Center,"$400,000.00","$200,000.00",Former Education Strategies,To provide core operating support for Stand for Children Massachusetts and its family engagement and organizing so that children have increased access to high-quality early and K-12 education,12/2/2015,Grants,2015,Education
,6115,6115 - Stand for Children Leadership Center,Stand for Children Leadership Center,"$400,000.00","$200,000.00",Former Education Strategies,To provide core operating support for Stand for Children Massachusetts and its family engagement and organizing so that children have increased access to high-quality early and K-12 education,12/2/2015,Grants,2015,Education
,20-09111,"20-09111 - Mystic River Watershed Association, Inc.","Mystic River Watershed Association, Inc.","$400,000.00","$200,000.00",Climate/Clean Energy/Support National and Local Networks,To support COVID-safe strategies for protecting communities from extreme weather,2/24/2021,Grants,2021,Climate
,20-09111,"20-09111 - Mystic River Watershed Association, Inc.","Mystic River Watershed Association, Inc.","$400,000.00","$200,000.00",Climate/Climate Resilience/Advance Policy and Implementation,To support COVID-safe strategies for protecting communities from extreme weather,2/24/2021,Grants,2021,Climate
,21-09201,21-09201 - Metropolitan Area Planning Council,Metropolitan Area Planning Council,"$400,000.00","$200,000.00",Climate/Clean Energy/Support National and Local Networks,To support COVID-safe strategies for protecting communities from extreme weather,2/24/2021,Grants,2021,Climate
,21-09201,21-09201 - Metropolitan Area Planning Council,Metropolitan Area Planning Council,"$400,000.00","$200,000.00",Climate/Climate Resilience/Advance Policy and Implementation,To support COVID-safe strategies for protecting communities from extreme weather,2/24/2021,Grants,2021,Climate
,22-35286,"22-35286 - Clean Energy Group, Inc.","Clean Energy Group, Inc.","$400,000.00","$310,000.00",Climate/Clean Energy,to support equitable deployment of energy storage and fossil peaker plant decomissioning in New England,2/28/2023,Grants,2023,Climate
,22-35286,"22-35286 - Clean Energy Group, Inc.","Clean Energy Group, Inc.","$400,000.00","$90,000.00",Climate/Climate Resilience,to support equitable deployment of energy storage and fossil peaker plant decomissioning in New England,2/28/2023,Grants,2023,Climate
,23-35485,"23-35485 - Mystic River Watershed Association, Inc.","Mystic River Watershed Association, Inc.","$400,000.00","$200,000.00",Climate/Clean Energy,to jointly manage an Extreme Heat Task Force to implement cooling strategies in the most COVID impacted communities of Greater Boston,5/2/2023,Grants,2023,Climate
,23-35485,"23-35485 - Mystic River Watershed Association, Inc.","Mystic River Watershed Association, Inc.","$400,000.00","$200,000.00",Climate/Climate Resilience,to jointly manage an Extreme Heat Task Force to implement cooling strategies in the most COVID impacted communities of Greater Boston,5/2/2023,Grants,2023,Climate
,21-09782,21-09782 - Metropolitan Area Planning Council,Metropolitan Area Planning Council,"$415,000.00","$207,500.00",Climate/Climate Resilience/Integrate Resilience Into the Fabric of Cities,To jointly manage an Extreme Heat Task Force to implement COVID-safe cooling strategies in the most COVID-impacted communities of Greater Boston,2/1/2022,Grants,2022,Climate
,21-09782,21-09782 - Metropolitan Area Planning Council,Metropolitan Area Planning Council,"$415,000.00","$207,500.00",Climate/Clean Energy/Expand Renewable Energy and Energy Efficiency,To jointly manage an Extreme Heat Task Force to implement COVID-safe cooling strategies in the most COVID-impacted communities of Greater Boston,2/1/2022,Grants,2022,Climate
,18-07511,18-07511 - The Trust for Public Land,The Trust for Public Land,"$450,000.00","$25,000.00",Climate/Mobility/Develop Low-Carbon Communities,"To support education, engagement, and training to expand green infrastructure solutions in Metro Boston",8/29/2019,Grants,2019,Climate
,18-07511,18-07511 - The Trust for Public Land,The Trust for Public Land,"$450,000.00","$425,000.00",Climate/Climate Resilience/Integrate Resilience Into the Fabric of Cities,"To support education, engagement, and training to expand green infrastructure solutions in Metro Boston",8/29/2019,Grants,2019,Climate
,20-08490,"20-08490 - The Years Project, Inc.","The Years Project, Inc.","$450,000.00","$225,000.00",Climate/Clean Energy/Support National and Local Networks,To provide general support for Years of Living Dangerously,6/30/2020,Grants,2020,Climate
,20-08490,"20-08490 - The Years Project, Inc.","The Years Project, Inc.","$450,000.00","$225,000.00",Climate/Climate Resilience/Build Awareness of Climate Impacts,To provide general support for Years of Living Dangerously,6/30/2020,Grants,2020,Climate
,21-09706,21-09706 - New World Foundation,New World Foundation,"$450,000.00","$404,000.00",Climate/Climate (Top Level),To support equitable climate and clean energy grassroots efforts in Massachusetts,11/30/2021,Grants,2021,Climate
,21-09706,21-09706 - New World Foundation,New World Foundation,"$450,000.00","$46,000.00",Climate/Clean Energy/Support National and Local Networks,To support equitable climate and clean energy grassroots efforts in Massachusetts,11/30/2021,Grants,2021,Climate
,20-08529,"20-08529 - The Massachusetts Institute for a New Commonwealth, Inc.","The Massachusetts Institute for a New Commonwealth, Inc.","$470,000.00","$420,000.00",Climate/Mobility/Modernize the Region's Transportation System,To support polling and focus groups for mobility and climate,3/31/2020,Grants,2020,Climate
,20-08529,"20-08529 - The Massachusetts Institute for a New Commonwealth, Inc.","The Massachusetts Institute for a New Commonwealth, Inc.","$470,000.00","$50,000.00",Climate/Clean Energy/Expand Renewable Energy and Energy Efficiency,To support polling and focus groups for mobility and climate,3/31/2020,Grants,2020,Climate
,5755,5755 - Smart Growth America,Smart Growth America,"$500,000.00","$190,000.00",Climate/Mobility/Develop Low-Carbon Communities,its LOCUS program,3/2/2015,Grants,2015,Climate
,5755,5755 - Smart Growth America,Smart Growth America,"$500,000.00","$310,000.00",Climate/Mobility/Modernize the Region's Transportation System,its LOCUS program,3/2/2015,Grants,2015,Climate
,17-06440,"17-06440 - The Berkshire Taconic Community Foundation, Inc.","The Berkshire Taconic Community Foundation, Inc.","$500,000.00","$150,000.00",Arts and Creativity/Foster Cross-Sectoral Relationships/Creative Placemaking,To pilot the Berkshire Arts and Creativity Initiative to increase access to the arts for Berkshire County residents,12/5/2017,Grants,2017,Arts
,17-06439,"17-06439 - Essex County Community Foundation, Inc.","Essex County Community Foundation, Inc.","$500,000.00","$150,000.00",Arts and Creativity/Invest in Adaptive and Relevant Organizations,To support the Creative County Initiative,12/5/2017,Grants,2017,Arts
,17-06438,"17-06438 - Community Foundation of Southeastern Massachusetts, Inc.","Community Foundation of Southeastern Massachusetts, Inc.","$500,000.00","$200,000.00",Arts and Creativity/Foster Cross-Sectoral Relationships/Creative Placemaking,"To support the Arts, Culture, and Creativity: What's Next? Initiative",12/5/2017,Grants,2017,Arts
,17-06436,"17-06436 - Greater Worcester Community Foundation, Inc.","Greater Worcester Community Foundation, Inc.","$500,000.00","$125,000.00",Arts and Creativity/Foster Cross-Sectoral Relationships/Creative Placemaking,To support the Creative Arts Grant and Community Convening Initiative,12/5/2017,Grants,2017,Arts
,17-06438,"17-06438 - Community Foundation of Southeastern Massachusetts, Inc.","Community Foundation of Southeastern Massachusetts, Inc.","$500,000.00","$300,000.00",Arts and Creativity/Invest in Adaptive and Relevant Organizations,"To support the Arts, Culture, and Creativity: What's Next? Initiative",12/5/2017,Grants,2017,Arts
,17-06439,"17-06439 - Essex County Community Foundation, Inc.","Essex County Community Foundation, Inc.","$500,000.00","$350,000.00",Arts and Creativity/Foster Cross-Sectoral Relationships/Creative Placemaking,To support the Creative County Initiative,12/5/2017,Grants,2017,Arts
,17-06440,"17-06440 - The Berkshire Taconic Community Foundation, Inc.","The Berkshire Taconic Community Foundation, Inc.","$500,000.00","$350,000.00",Arts and Creativity/Invest in Adaptive and Relevant Organizations,To pilot the Berkshire Arts and Creativity Initiative to increase access to the arts for Berkshire County residents,12/5/2017,Grants,2017,Arts
,17-06436,"17-06436 - Greater Worcester Community Foundation, Inc.","Greater Worcester Community Foundation, Inc.","$500,000.00","$375,000.00",Arts and Creativity/Invest in Adaptive and Relevant Organizations,To support the Creative Arts Grant and Community Convening Initiative,12/5/2017,Grants,2017,Arts
,21-09362,"21-09362 - GreenRoots, Inc.","GreenRoots, Inc.","$500,000.00","$125,000.00",Climate/Climate Resilience/Integrate Resilience Into the Fabric of Cities,To provide general operating support,6/30/2021,Grants,2021,Climate
,21-09362,"21-09362 - GreenRoots, Inc.","GreenRoots, Inc.","$500,000.00","$250,000.00",Climate/Mobility/Modernize the Region's Transportation System,To provide general operating support,6/30/2021,Grants,2021,Climate
,21-09343,"21-09343 - Alliance for Business Leadership, Inc.","Alliance for Business Leadership, Inc.","$500,000.00","$52,000.00",Climate/Mobility/Develop Low-Carbon Communities,To provide general operating support,11/30/2021,Grants,2021,Climate
,21-09362,"21-09362 - GreenRoots, Inc.","GreenRoots, Inc.","$500,000.00","$125,000.00",Climate/Clean Energy/Support National and Local Networks,To provide general operating support,6/30/2021,Grants,2021,Climate
